,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Azim,Elev,TkBB(K), 22.235, 23.035, 23.835, 26.235, 30.000, 51.250, 52.280, 53.850, 54.940, 56.660, 57.290, 58.800
2009/02/13,11.0,275.47999999999996,29.448709677419348,793.6032258064513,268.40967741935486,,0.0,90.0,285.65032258064514,11.561290322580643,10.090645161290322,8.75516129032258,5.200967741935483,7.707419354838709,70.0809677419355,101.85709677419354,208.44677419354838,261.47129032258067,270.64483870967746,271.37193548387097,271.98709677419356
2009/02/14,11.0,274.66064516129035,35.33870967741935,793.6806451612905,269.73870967741937,,0.0,90.0,284.8812903225806,4.6241935483870975,5.027741935483871,5.090967741935485,-2.8867741935483875,5.088064516129032,70.71580645161292,102.78612903225806,209.33741935483874,261.33225806451617,270.0545161290322,270.8032258064517,271.4038709677419
2009/02/15,11.0,276.25709677419354,30.70806451612903,793.5999999999997,265.29032258064524,,0.0,90.0,286.6141935483871,3.6661290322580644,4.321612903225806,4.176774193548388,-3.465806451612903,4.96225806451613,70.63548387096772,103.08774193548386,209.93387096774194,262.0941935483871,271.5983870967741,272.3919354838709,273.14967741935476
2009/02/16,11.0,275.9732258064516,48.37645161290323,793.5999999999997,266.77741935483874,,0.0,90.0,286.38709677419354,3.698064516129032,4.652258064516129,5.098064516129032,-2.9861290322580647,5.029677419354838,71.14290322580645,103.66419354838709,210.89645161290326,263.09096774193546,271.6267741935484,272.2951612903226,272.9283870967742
2009/02/17,11.0,278.1529032258064,49.527419354838706,793.5935483870965,269.5387096774193,,0.0,90.0,287.2903225806451,3.9922580645161294,4.8516129032258055,5.051290322580645,-3.2158064516129032,4.6648387096774195,70.3141935483871,102.97580645161291,211.68870967741935,264.5683870967742,273.78548387096777,274.3551612903226,274.88129032258064
2009/02/18,11.0,267.2832258064516,51.04774193548387,793.7999999999997,267.4322580645161,,0.0,90.0,278.87806451612903,3.7493548387096767,4.5764516129032256,4.84,-2.106129032258065,5.929354838709676,73.49387096774193,103.95516129032258,206.0170967741935,254.98967741935485,262.2977419354839,263.00032258064516,263.5041935483871
2009/02/19,11.0,265.41032258064513,69.14161290322582,793.9000000000003,257.36451612903227,,0.0,90.0,276.50354838709677,0.09096774193548388,1.14741935483871,2.4822580645161296,-2.775161290322581,3.8880645161290324,70.67709677419357,101.47483870967744,204.91967741935485,255.91935483870964,263.54225806451615,264.01741935483875,264.198064516129
2009/02/20,,,,,,,,,,,,,,,,,,,,,
2009/02/21,11.0,268.66064516129035,26.831612903225807,793.7999999999997,259.23548387096776,,0.0,90.0,279.7487096774194,0.7690322580645162,1.4319354838709677,2.3522580645161297,-3.1299999999999994,4.331612903225807,69.21064516129033,100.09483870967742,205.54709677419356,258.11451612903227,267.36451612903227,268.01774193548385,268.48741935483866
2009/02/22,11.0,271.4503225806452,23.57032258064516,793.7000000000003,261.7193548387097,,0.0,90.0,282.3503225806451,2.126774193548387,2.8883870967741925,3.2000000000000006,-3.584516129032258,4.7690322580645175,69.09903225806451,99.8916129032258,205.3974193548387,259.4183870967742,268.82709677419354,269.27838709677417,269.6241935483871
2009/02/23,11.0,271.1738709677419,32.17451612903225,793.7032258064518,264.3838709677419,,0.0,90.0,281.7683870967742,2.9135483870967733,2.922903225806451,3.3003225806451613,-0.847741935483871,5.23483870967742,68.65064516129033,99.7467741935484,206.92096774193547,260.6941935483871,268.7106451612903,268.9570967741936,269.1625806451613
2009/02/24,11.0,269.9448387096774,64.41645161290322,793.7870967741935,271.00967741935483,,0.0,90.0,280.8906451612903,22.840967741935486,20.247741935483873,16.975806451612904,13.370645161290321,13.106129032258064,78.1316129032258,108.04354838709678,209.02290322580643,258.2158064516129,265.61387096774195,266.1506451612903,266.5064516129033
2009/02/25,11.0,268.28193548387094,99.99354838709677,793.7999999999997,271.0129032258064,,0.0,90.0,279.8745161290322,8.932258064516128,8.96483870967742,8.275806451612903,-0.7690322580645164,6.3106451612903225,73.60548387096773,104.1832258064516,206.4170967741935,256.07032258064515,263.8574193548387,264.47645161290325,264.9783870967742
2009/02/26,11.0,268.45193548387095,98.36483870967741,793.7999999999997,262.5161290322581,,0.0,90.0,279.3587096774193,4.2058064516129035,4.7954838709677405,5.190967741935483,-2.5954838709677417,4.8090322580645175,71.56290322580647,102.7258064516129,206.6983870967742,257.3874193548387,265.45612903225805,266.0641935483871,266.46935483870965
2009/02/27,11.0,270.0370967741935,84.67967741935485,793.7967741935482,263.2032258064516,,0.0,90.0,280.78032258064513,7.339032258064516,6.991290322580646,6.974193548387095,1.3770967741935485,6.063225806451613,71.32580645161292,102.57129032258065,206.94225806451612,258.15677419354836,267.0961290322581,267.9074193548387,268.47774193548383
2009/02/28,11.0,270.15451612903223,99.99354838709678,794.0290322580647,272.16774193548383,,0.0,90.0,280.6970967741935,12.788709677419357,11.925161290322583,10.939032258064515,4.225161290322581,8.970645161290326,75.98709677419356,106.52483870967741,207.54516129032257,256.83193548387095,265.4448387096774,266.2154838709678,266.79806451612905
2009/03/01,11.0,269.46258064516127,90.27645161290322,793.7999999999997,257.7258064516129,,0.0,90.0,280.2632258064516,8.45290322580645,7.920322580645161,7.46225806451613,4.062580645161291,6.861935483870967,70.65225806451613,101.38838709677421,204.92129032258063,257.1754838709677,266.32548387096773,267.0593548387097,267.3003225806452
2009/03/02,11.0,270.4670967741935,83.14967741935484,793.7967741935482,259.10967741935485,,0.0,90.0,280.52774193548385,-3.5222580645161288,-1.4638709677419355,0.6099999999999999,-8.140322580645162,3.215161290322581,70.53193548387098,101.50612903225804,205.56677419354838,258.2167741935484,267.5593548387097,268.3241935483871,268.92064516129034
2009/03/03,11.0,271.02967741935487,93.45806451612904,793.7161290322581,270.5129032258065,,0.0,90.0,281.6267741935484,4.507419354838709,5.505806451612903,5.37741935483871,-5.80516129032258,4.371612903225806,70.4790322580645,102.11451612903225,208.22677419354838,261.4735483870968,268.9951612903226,269.14645161290326,269.23580645161286
2009/03/04,11.0,267.4861290322581,73.97548387096775,793.806451612903,257.4354838709677,,0.0,90.0,278.61774193548393,-3.5235483870967736,-1.2906451612903223,0.5364516129032258,-8.176129032258064,2.8925806451612903,70.32645161290323,101.7183870967742,207.33612903225807,258.6574193548387,266.6558064516129,267.3577419354839,267.74806451612903
2009/03/05,11.0,268.9467741935484,84.57258064516131,793.7999999999997,262.4516129032258,,0.0,90.0,279.43870967741935,-3.4387096774193546,-1.3738709677419354,0.4641935483870968,-8.532580645161291,2.690967741935484,70.67354838709677,102.07290322580647,207.291935483871,258.411935483871,266.4754838709677,267.16774193548383,267.61
2009/03/06,11.0,270.55870967741936,86.60064516129034,793.7999999999997,259.48709677419356,,0.0,90.0,280.01516129032257,-3.0135483870967747,-0.6670967741935484,1.2090322580645163,-9.567741935483872,2.8396774193548384,70.66483870967743,102.27064516129032,208.09064516129035,260.5625806451613,269.50516129032263,270.1003225806452,270.32677419354843
2009/03/07,11.0,274.416129032258,49.869032258064514,793.6387096774195,268.2741935483871,,0.0,90.0,285.36806451612904,15.818064516129029,13.725483870967741,11.46258064516129,8.088387096774195,8.876774193548387,71.21999999999998,102.96806451612903,208.25677419354838,260.6338709677419,270.54999999999995,271.3890322580645,272.0203225806452
2009/03/08,11.0,273.9538709677419,73.87548387096774,793.7000000000003,261.65806451612906,,0.0,90.0,283.00032258064516,-6.288064516129032,-3.9325806451612904,-1.14741935483871,-9.921290322580647,2.2751612903225804,69.21935483870968,101.53322580645161,210.71064516129033,264.2135483870968,273.03225806451616,273.45000000000005,273.58645161290326
2009/03/09,11.0,275.1783870967742,79.98290322580644,793.6354838709676,268.2225806451613,,0.0,90.0,284.63129032258064,2.6490322580645165,4.1496774193548385,4.732258064516128,-7.314193548387097,4.231290322580644,71.24870967741936,103.43193548387097,211.60677419354846,263.801935483871,272.01258064516134,272.5496774193548,273.05806451612904
