,QC_08,lv1_08,Ground_temperature_08,Ground_temperature_08_1,Temperature_08,Temperature_08_H0,Relative_humidity_08,Sep,QC_20,lv1_20,Ground_temperature_20,Ground_temperature_20_1,Temperature_20,Temperature_20_H0,Relative_humidity_20
2007/05/07,0,0,,,36,268.07928,36,/,0,0,,,30,271.53421,30
2007/05/08,0,0,,,36,268.69202,36,/,0,0,,,47,271.68951,43
2007/05/09,0,0,,,30,268.21063,30,/,0,0,,,36,274.4523,36
2007/05/10,1,0,,,,,,/,1,0,,,,,
2007/05/11,0,0,,,30,262.76581,30,/,0,0,,,43,266.50552,43
2007/05/12,0,0,,,47,264.19394,43,/,0,0,,,43,270.7475,36
2007/05/13,0,0,,,47,266.70026,44,/,0,0,,,43,271.49527,36
2007/05/14,0,0,,,36,267.91031,36,/,0,0,,,47,270.65768,36
2007/05/15,0,0,,,47,266.81665,43,/,0,0,,,30,269.41629,30
2007/05/16,0,0,,,36,265.7334,36,/,0,0,,,30,271.09744,30
2007/05/17,0,0,,,36,267.3031,36,/,0,0,,,30,271.64124,30
2007/05/18,0,0,,,47,267.98618,43,/,0,0,,,47,275.02625,43
2007/05/19,0,0,,,36,271.09338,36,/,0,31,303.0626666666667,302.976,47,276.39359,43
2007/05/20,0,31,297.66066666666666,297.64033333333333,47,270.79959,36,/,1,31,305.76366666666667,305.776,,,
2007/05/21,0,0,297.4046666666667,297.40700000000004,30,274.15417,30,/,0,0,296.96,296.991,44,274.74869,36
2007/05/22,0,0,294.834,294.8226666666667,36,272.67471,36,/,0,0,300.68,300.68100000000004,31,272.09177,31
2007/05/23,3,31,291.28766666666667,291.30466666666666,31,272.09265,31,/,3,31,291.299,291.3026666666667,47,269.0267,37
2007/05/24,0,0,289.458,289.437,47,266.98605,37,/,0,31,302.3643333333333,302.3946666666667,47,269.84106,44
2007/05/25,0,31,295.26733333333334,295.2606666666667,47,269.479,37,/,0,31,301.241,301.2556666666666,47,272.42163,36
2007/05/26,0,0,,,47,268.86087,36,/,0,0,,,47,271.26981,37
2007/05/27,0,0,,,47,269.92252,36,/,0,0,,,47,271.19897,36
2007/05/28,0,31,297.70466666666664,297.67633333333333,47,269.60165,44,/,0,31,304.83466666666664,304.86566666666664,47,274.3512,44
2007/05/29,3,31,297.8976666666666,297.90299999999996,47,272.9101,37,/,3,31,302.99666666666667,303.02199999999993,47,275.22177,44
